Тип строки,Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Тип товаров,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина
product_variant,Арка Эллада,Эл-2П-7,1,RUB,,3920,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,200-500,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-3,2,RUB,,3220,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-11,3,RUB,,4900,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,510-900,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-8,4,RUB,,4200,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,200-500,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-4,5,RUB,,3500,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-12,6,RUB,,5180,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,510-900,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-5,7,RUB,,3920,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,200-500,800-900
product_variant,Арка Эллада,Эл-2П-1,8,RUB,,3220,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,190,800-900
product_variant,Арка Эллада,Эл-2П-9,9,RUB,,4900,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,510-900,800-900
product_variant,Арка Эллада,Эл-2П-6,10,RUB,,3920,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,200-500,900-1000
product_variant,Арка Эллада,Эл-2П-2,11,RUB,,3220,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,190,900-1000
product_variant,Арка Эллада,Эл-2П-10,12,RUB,,4900,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2150,510-900,900-1000
product_variant,Арка Эллада,Эл-2П-19,13,RUB,,4060,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2450,200-500,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-15,14,RUB,,3360,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2450,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-23,15,RUB,,5040,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2450,510-900,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-20,16,RUB,,4340,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2450,200-500,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-16,17,RUB,,3640,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2450,190,700-1700 со сводорасширителем
