Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Дверь Кристалл,ДВ-КРИ-0,ДВ-КРИ-0,RUB,0,19600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/923/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D1%81%D0%B5%D1%80%D0%B0%D1%8F%207040%20%D0%9C%D0%94%D0%A4%20%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%BB.jpg,,,,,,,,Дверь Оникс,
Дверь Концепт,ДВ-КОН-1,ДВ-КОН-1,RUB,1,14700,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/a59/1%20%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D0%BF%D1%82%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%207040%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.jpg,,,,,,,,Дверь Оникс,
Дверь Флоренция,ДВ-ФЛО-2,ДВ-ФЛО-2,RUB,2,23100,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/84c/%D1%84%D0%BB%D0%BE%D1%80%D0%B5%D0%BD%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%B1%D1%80.jpg,,,,,,,,Дверь Оникс,
Дверь Дельта,ДВ-ДЕЛ-3,ДВ-ДЕЛ-3,RUB,3,15100,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/6ff/%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%84%D1%80%D0%B5%D0%B7%D0%B0%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.png,,,,,,,,Дверь Оникс,
Дверь Софья,ДВ-СОФ-4,ДВ-СОФ-4,RUB,4,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/d6b/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%9C%D0%94%D0%A4%20-%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.png,,,,,,,,Дверь Оникс,
Дверь Турин с решёткой фрезерованный,ДВ-ТУР-5,ДВ-ТУР-5,RUB,5,19700,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/2c8/%D0%A2%D1%83%D1%80%D0%B8%D0%BD%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%84%D1%80%D0%B5%D0%B7%D0%B0%202.jpg,,,,,,,,Дверь Оникс,
Дверь Турин глухой фрезерованный,ДВ-ТУР-6,ДВ-ТУР-6,RUB,6,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/23a/%D0%A1%D0%BA%D1%80%D0%B8%D0%BD%D1%88%D0%BE%D1%82%2022-01-2020%20104921.jpg,,,,,,,,Дверь Оникс,
"Дверь Версаль, фрезерованное",ДВ-ВЕР-7,ДВ-ВЕР-7,RUB,7,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/bf1/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%285%29.png,,,,,,,,Дверь Оникс,
"Дверь Марсель, фрезерованное",ДВ-МАР-8,ДВ-МАР-8,RUB,8,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/6a1/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D1%81%D0%BB%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BA%D0%BE%D1%81%D1%82%D1%8C%20%D0%9C%D0%94%D0%A4%20%D0%9C%D0%B0%D1%80%D1%81%D0%B5%D0%BB%D1%8C%20%D1%84%D1%80%D0%B5%D0%B7%D0%B0%20%D0%BE%D1%81%D1%82.jpg,,,,,,,,Дверь Оникс,
Дверь Милан фрезерованный,ДВ-МИЛ-9,ДВ-МИЛ-9,RUB,9,15100,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/59b/%D0%BF%D1%80%D0%B8%D0%B2%D1%8C%D1%8E.png,,,,,,,,Дверь Оникс,
