Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Варианты модели,Тип товаров,Варианты отделки
Перегородка №1,ПЕР-ГЛУВЕН-1,ПЕР-ГЛУВЕН-1,RUB,1,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/6da/276_564_1/%D0%92%D0%B5%D0%BD%D0%B3%D0%B5%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%B0%20%E2%84%961.png,Глухое полотно,Межкомнатные перегородки,Венге
Перегородка №1,ПЕР-ГЛУЭМА-2,ПЕР-ГЛУЭМА-2,RUB,2,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/fb8/276_564_1/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%9C%D0%94%D0%A4%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%BA%D0%B0%20%E2%84%961.png,Глухое полотно,Межкомнатные перегородки,Эмаль белая
Перегородка №1,ПЕР-ГЛУДУБ-3,ПЕР-ГЛУДУБ-3,RUB,3,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/25c/276_564_1/%D0%94%D1%83%D0%B1%20%D1%81%D0%B5%D0%B4%D0%BE%D0%B9%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%B0%E2%84%961.png,Глухое полотно,Межкомнатные перегородки,Дуб седой
Перегородка №1,ПЕР-ГЛУДУБ-4,ПЕР-ГЛУДУБ-4,RUB,4,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/042/276_564_1/%D0%94%D1%83%D0%B1%20%D0%B0%D0%BD%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%B0%20%E2%84%961%20%D0%B3%D0%BB%D1%83%D1%85%D0%B0%D1%8F.png,Глухое полотно,Межкомнатные перегородки,Дуб античный
Перегородка №1,ПЕР-ОСТВЕН-5,ПЕР-ОСТВЕН-5,RUB,5,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/a0e/276_564_1/%D0%92%D0%B5%D0%BD%D0%B3%D0%B5%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%B0%20%E2%84%961%20%D1%81%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%D1%82%20%D0%B1%D1%80%D0%BE%D0%BD%D0%B7%D0%B0.png,Остекленное полотно,Межкомнатные перегородки,Венге
Перегородка №1,ПЕР-ОСТЭМА-6,ПЕР-ОСТЭМА-6,RUB,6,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/073/276_564_1/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%9C%D0%94%D0%A4%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%BA%D0%B0%20%E2%84%961%20%20%D1%81%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%D1%82%20%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9.png,Остекленное полотно,Межкомнатные перегородки,Эмаль белая
Перегородка №1,ПЕР-ОСТДУБ-7,ПЕР-ОСТДУБ-7,RUB,7,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/44c/276_564_1/%D0%94%D1%83%D0%B1%20%D1%81%D0%B5%D0%B4%D0%BE%D0%B9%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%B0%E2%84%961%20%D1%81%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%D1%82%20%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9.png,Остекленное полотно,Межкомнатные перегородки,Дуб седой
Перегородка №1,ПЕР-ОСТДУБ-8,ПЕР-ОСТДУБ-8,RUB,8,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/ee1/276_564_1/%D0%94%D1%83%D0%B1%20%D0%B0%D0%BD%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%B0%20%E2%84%961%20%D1%81%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%D1%82%20%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9.png,Остекленное полотно,Межкомнатные перегородки,Дуб античный
Перегородка №1,ПЕР-ОСТВЕН-9,ПЕР-ОСТВЕН-9,RUB,9,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/3a1/276_564_1/%D0%92%D0%B5%D0%BD%D0%B3%D0%B5%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%B0%20%E2%84%961%20%D1%80%D0%B5%D1%88%20%E2%84%961%D0%B0%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.png,Остекленное полотно,Межкомнатные перегородки,Венге
Перегородка №1,ПЕР-ОСТЭМА-10,ПЕР-ОСТЭМА-10,RUB,10,8900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/resize_cache/artrix/e0f/276_564_1/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%9C%D0%94%D0%A4%20-%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BA%D0%BA%D0%B0%20%E2%84%961%20%D1%801.png,Остекленное полотно,Межкомнатные перегородки,Эмаль белая
