Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Коробка 70х35,ПИ-70Х-0,ПИ-70Х-0,RUB,0,990,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/d81/%D0%BA%D0%BE%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%2070%D1%8535%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B5%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%20%D0%BA%D0%B2%D0%B0%D0%B4%D1%80%D0%B0%D1%82%D0%BD%D0%B0%D1%8F%20%D0%B2%D0%B5%D1%80%D1%82.jpg,,,,,,,,Погонажные изделия,
Коробка 90х40,ПИ-90Х-1,ПИ-90Х-1,RUB,1,1410,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/6ac/%D0%BA%D0%BE%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%2090%D1%8540%20%D0%BF%D0%B0%D0%BB%D0%B8%D1%81%D0%B0%D0%BD%D0%B4%D1%80%20%D0%B2%D0%B5%D1%80%D1%82.jpg,,,,,,,,Погонажные изделия,
Противопожарная коробка,ПИ-КОР-2,ПИ-КОР-2,RUB,2,2390,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/9cd/%D0%BA%D0%BE%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%20%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2%D0%BE%D0%BF%20%D0%B0%D0%BD%D0%B5%D0%B3%D1%80%D0%B8%20%D0%B2%D0%B5%D1%80%D1%82.jpg,,,,,,,,Погонажные изделия,
Маятниковая коробка,ПИ-КОР-3,ПИ-КОР-3,RUB,3,1800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/e2e/%D0%BA%D0%BE%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%20%D0%BC%D0%B0%D1%8F%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%B0%D0%BD%D0%B3%D0%B0%D1%80%20%D0%B2%D0%B5%D1%80%D1%82.jpg,,,,,,,,Погонажные изделия,
Скрытая алюминиевая коробка обратного открывания под полотно 56 мм,ПИ-АЛЮ-4,ПИ-АЛЮ-4,RUB,4,3410,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/5ee/%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%20%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B9%20%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D0%BE%D0%B5%20%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%2056%201.jpg,,,,,,,,Погонажные изделия,
Скрытая алюминиевая коробка обратного открывания под полотно 40 мм,ПИ-АЛЮ-5,ПИ-АЛЮ-5,RUB,5,3410,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/c20/%D0%BA%D0%BE%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%20%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%81%D0%BA%D1%80%D1%8B%D1%82%D0%BE%D0%B3%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D0%BE%D0%B3%20%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F.jpg,,,,,,,,Погонажные изделия,
Скрытая алюминиевая коробка,ПИ-АЛЮ-6,ПИ-АЛЮ-6,RUB,6,3410,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/1fe/IMG_8950.png,,,,,,,,Погонажные изделия,
Металлическая с наличником,ПИ-С-7,ПИ-С-7,RUB,7,7460,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/99c/01.jpg,,,,,,,,Погонажные изделия,
Для compack системы коробка с декоративной планкой,ПИ-COM-8,ПИ-COM-8,RUB,8,1800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/1a3/%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%20%D0%B4%D0%BB%D1%8F%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BA%D1%82%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Компланарная коробка 60x35,ПИ-КОР-9,ПИ-КОР-9,RUB,9,1410,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/fcb/%D0%BA%D0%BE%D1%80%D0%BE%D0%B1%D0%BA%D0%B0_%D1%81%D0%B0%D0%B9%D1%82.jpg,,,,,,,,Погонажные изделия,
Прямой наличник,ПИ-НАЛ-0,ПИ-НАЛ-0,RUB,0,500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/69f/%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D0%BF%D1%80%D1%8F%D0%BC%D0%BE%D0%B9%20%D0%B4%D1%83%D0%B1%20%D1%81%D0%B5%D0%B4%D0%BE%D0%B9.jpg,,,,,,,,Погонажные изделия,
