Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Скрытая дверь Сорбонна,ДВ-СОР-1,ДВ-СОР-1,RUB,1,12500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/fe2/%D1%81%D0%BE%D1%80%D0%B1%D0%BE%D0%BD%D0%BD%D0%B0%203.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь Акцент,ДВ-АКЦ-2,ДВ-АКЦ-2,RUB,2,11800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/061/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%282%29.png,,,,,,,,Дверь Оникс,
Скрытая дверь Бристоль 1,ДВ-БРИ-3,ДВ-БРИ-3,RUB,3,20600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/2d9/%D0%91%D1%80%D0%B8%D1%81%D1%82%D0%BE%D0%BB%D1%8C%201%20%D0%BF%D1%80%D0%B8%D0%B2%D1%8C%D1%8E.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь Турин с решёткой фрезерованный,ДВ-ТУР-4,ДВ-ТУР-4,RUB,4,19700,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/2c8/%D0%A2%D1%83%D1%80%D0%B8%D0%BD%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%84%D1%80%D0%B5%D0%B7%D0%B0%202.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь Вена 2,ДВ-ВЕН-5,ДВ-ВЕН-5,RUB,5,14700,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/dd6/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%282%29.png,,,,,,,,Дверь Оникс,
"Скрытая дверь Марсель, фрезерованное",ДВ-МАР-6,ДВ-МАР-6,RUB,6,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/6a1/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D1%81%D0%BB%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BA%D0%BE%D1%81%D1%82%D1%8C%20%D0%9C%D0%94%D0%A4%20%D0%9C%D0%B0%D1%80%D1%81%D0%B5%D0%BB%D1%8C%20%D1%84%D1%80%D0%B5%D0%B7%D0%B0%20%D0%BE%D1%81%D1%82.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь Орлеан,ДВ-ОРЛ-7,ДВ-ОРЛ-7,RUB,7,15100,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/9eb/%D0%BE%D1%80%D0%BB%D0%B5%D0%B0%D0%BD%20%D1%87%D0%B5%D1%80%D0%BD%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь Неаполь,ДВ-НЕА-8,ДВ-НЕА-8,RUB,8,16800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/ef1/%D0%9D%D0%B5%D0%B0%D0%BF%D0%BE%D0%BB%D1%8C.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь Италия 1,ДВ-ИТА-9,ДВ-ИТА-9,RUB,9,11600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/68e/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%201.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь Италия 4,ДВ-ИТА-10,ДВ-ИТА-10,RUB,10,11600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/92f/%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD1.png,,,,,,,,Дверь Оникс,
Скрытая дверь Мадрид,ДВ-МАД-11,ДВ-МАД-11,RUB,11,21500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/d82/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F.png,,,,,,,,Дверь Оникс,
Скрытая дверь Трио,ДВ-ТРИ-12,ДВ-ТРИ-12,RUB,12,9200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/6c4/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F.png,,,,,,,,Дверь Оникс,
Скрытая дверь Шпонированное полотно,ДВ-ШПО-13,ДВ-ШПО-13,RUB,13,9200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/d52/%D0%A8%D0%BF%D0%BE%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%BD%D0%BE.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь Тектон 5,ДВ-ТЕК-14,ДВ-ТЕК-14,RUB,14,11500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/fb0/%D1%82%D0%B5%D0%BA%D1%82%D0%BE%D0%BD%20%D0%B0%D0%BA%D0%B0%D1%86%D0%B8%D1%8F.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь под покраску,ДВ-СКР-0,ДВ-СКР-0,RUB,0,13300,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/b35/%D0%BF%D0%BE%D0%B4%20%D0%BF%D0%BE%D0%BA%D1%80%D0%B0%D1%81%D0%BA%D1%83%20%D1%81%20%D0%BB%D0%BE%D0%B3%D0%BE.jpg,,,,,,,,Дверь Оникс,
Скрытая дверь под обои,ДВ-СКР-1,ДВ-СКР-1,RUB,1,13300,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/706/%D0%BF%D0%BE%D0%B4%20%D0%BE%D0%B1%D0%BE%D0%B8%20%D1%81%20%D0%BB%D0%BE%D0%B3%D0%BE.jpg,,,,,,,,Дверь Оникс,
